# GNDS name	pathway	source	factor	f1	lung_model
# GNDS name	pathway(air|soil|ingest|inhale)	source(EPA|DOE|GENII)
# factor	f1(to body fluids, ingest only)	lung(D|W|Y|V|O, inhale only)
# Dose factors from the BSD-3 PyNE dbgen tables (no separate CSV license):
# dosefactors_external_air.csv (93 rows; Nuclide,Air Dose Rate Factor,Ratio;
# mrem/h per Ci/m^3; EPA-only), dosefactors_external_soil.csv (93 rows;
# Nuclide,GENII,EPA,DOE,...; mrem/h per Ci/m^2, 15cm slab),
# dosefactors_ingest.csv (93 rows; Nuclide,f1,GENII,EPA,DOE,...; mrem/pCi),
# dosefactors_inhale.csv (93 rows; Nuclide,Lung Model,GENII,EPA,DOE,...;
# mrem/pCi; lung D/W/Y/V/O).
# Proximate provenance: HNF-SD-WM-TI-707 Rev.1 (Dec 1999), App. O of
# HNF-5636 (2001); GENII/EPA/DOE are 3 parallel evaluations in that report.
# Semantics follow pyne/dbgen/dosefactors.py (260 lines): Nuclide keys like
# H-3 with +D = plus daughters fold into the parent (suffix stripped).
# Air is EPA-only: GENII/DOE air rows are -1 sentinels (PyNE convention);
# accessors treat negative factors as missing. Liability: not for safety
# decisions (upstream PyNE disclaimer).
# Regenerate: python3 scripts/gen-nuclear-data.py --dose-air <air.csv> --dose-soil <soil.csv> --dose-ingest <ingest.csv> --dose-inhale <inhale.csv> --out <dir>.
C14	air	EPA	2.98e-12		
C14	air	GENII	-1		
C14	ingest	DOE	2.1e-06	1	
C14	ingest	EPA	2.09e-06	1	
C14	ingest	GENII	2.06e-06	1	
C14	inhale	DOE	2.1e-06		O
C14	inhale	EPA	2.09e-06		O
C14	inhale	GENII	2.06e-06		O
C14	soil	DOE	0		
C14	soil	EPA	0.00682		
C14	soil	GENII	0.00751		
Cd109	air	DOE	-1		
Cd109	air	EPA	3.92e-09		
Cd109	air	GENII	-1		
Cd109	ingest	DOE	1.2e-05	0.05	
Cd109	ingest	EPA	1.31e-05	0.05	
Cd109	ingest	GENII	1.32e-05	0.05	
Cd109	inhale	DOE	0.0001		D
Cd109	inhale	EPA	0.000114		D
Cd109	inhale	GENII	0.000115		D
Cd109	soil	DOE	108		
Cd109	soil	EPA	7.47		
Cd109	soil	GENII	2.61		
Cd113_m1	air	DOE	-1		
Cd113_m1	air	EPA	9.24e-11		
Cd113_m1	air	GENII	-1		
Cd113_m1	ingest	DOE	0.00015	0.05	
Cd113_m1	ingest	EPA	0.000161	0.05	
Cd113_m1	ingest	GENII	0.000162	0.05	
Cd113_m1	inhale	DOE	0.0014		D
Cd113_m1	inhale	EPA	0.00153		D
Cd113_m1	inhale	GENII	0.00154		D
Cd113_m1	soil	DOE	0		
Cd113_m1	soil	EPA	0.324		
Cd113_m1	soil	GENII	0.428		
Cf248	air	DOE	-1		
Cf248	air	EPA	6.3e-11		
Cf248	air	GENII	-1		
Cf248	ingest	DOE	0.00028	0.001	
Cf248	ingest	EPA	0.000334	0.001	
Cf248	ingest	GENII	0.000339	0.001	
Cf248	inhale	DOE	0.043		Y
Cf248	inhale	EPA	0.0507		Y
Cf248	inhale	GENII	0.0511		Y
Cf248	soil	DOE	7.68		
Cf248	soil	EPA	0.0632		
Cf248	soil	GENII	0.0343		
Cf249	air	DOE	-1		
Cf249	air	EPA	2.11e-07		
Cf249	air	GENII	-1		
Cf249	ingest	DOE	0.0046	0.001	
Cf249	ingest	EPA	0.00474	0.001	
Cf249	ingest	GENII	0.00475	0.001	
Cf249	inhale	DOE	0.55		W
Cf249	inhale	EPA	0.577		W
Cf249	inhale	GENII	0.577		W
Cf249	soil	DOE	4020		
Cf249	soil	EPA	871		
Cf249	soil	GENII	982		
Cf250	air	DOE	-1		
Cf250	air	EPA	5.99e-11		
Cf250	air	GENII	-1		
Cf250	ingest	DOE	0.0019	0.001	
Cf250	ingest	EPA	0.00213	0.001	
Cf250	ingest	GENII	0.00213	0.001	
Cf250	inhale	DOE	0.22		W
Cf250	inhale	EPA	0.262		W
Cf250	inhale	GENII	0.263		W
Cf250	soil	DOE	7.81		
Cf250	soil	EPA	0.0601		
Cf250	soil	GENII	0.0537		
Cf251	air	DOE	-1		
Cf251	air	EPA	7.43e-08		
Cf251	air	GENII	-1		
Cf251	ingest	DOE	0.0046	0.001	
Cf251	ingest	EPA	0.00485	0.001	
Cf251	ingest	GENII	0.00482	0.001	
Cf251	inhale	DOE	0.56		W
Cf251	inhale	EPA	0.588		W
Cf251	inhale	GENII	0.587		W
Cf251	soil	DOE	1550		
Cf251	soil	EPA	262		
Cf251	soil	GENII	240		
Cf252	air	DOE	-1		
Cf252	air	EPA	6.74e-11		
Cf252	air	GENII	-1		
Cf252	ingest	DOE	0.00094	0.001	
Cf252	ingest	EPA	0.00108	0.001	
Cf252	ingest	GENII	0.00109	0.001	
Cf252	inhale	DOE	0.13		Y
Cf252	inhale	EPA	0.157		Y
Cf252	inhale	GENII	0.155		Y
Cf252	soil	DOE	7.23		
Cf252	soil	EPA	0.0891		
Cf252	soil	GENII	0.0425		
Cl36	air	DOE	-1		
Cl36	air	EPA	2.97e-10		
