# GNDS name	mev_per_decay
# Mean PROMPT recoverable energy per decay (MeV) from ENDF/B-VII.1
# decay tapes (MF8/MT457 summary components, uncertainties skipped).
# Daughter gammas belong to the daughter row: chain codes must sum
# members (e.g. Cs137 prompt + Ba137_m1 662 keV). Mean-field decay
# data evaluation; not for spectroscopy or safety calculations.
# Regenerate: python3 scripts/gen-nuclear-data.py --help.
Au184_m1	3.32525
Au185	3.21592
Au186	2.50291
Au187	2.47197
Au187_m1	0.117053
Au188	3.68143
Au189	1.93416
Au189_m1	2.1
Au190	2.29059
Au190_m1	0.2
Au191	0.598331
Au191_m1	0.258968
Au192	2.02604
Au192_m1	0.135
Au192_m2	0.423
Au193	0.219358
Au193_m1	0.281812
Au194	1.09615
Au194_m1	0.10097
Au194_m2	0.476189
Au195	0.133845
Au195_m1	0.316046
Au196	0.506719
Au196_m1	0.083258
Au196_m2	0.506575
Au197_m1	0.400431
Au198	0.730623
Au198_m1	0.795029
Au199	0.235333
Au200	1.00407
Au200_m1	1.84512
Au201	0.84
Au202	1.2671
Au203	0.795761
Au204	2.62667
Au205	2.358
B12	6.40683
B13	6.67822
B14	13.021
B15	13.3452
B16	0.085
B17	15.8211
B18	0.48
B19	19.1123
B6	7.419
B7	2.20664
B8	13.5538
B9	0.18583
Ba114	5.91213
Ba115	7.26102
Ba116	4.97891
Ba117	6.02356
Ba118	4.02467
Ba119	5.01998
Ba120	3.33333
Ba121	4.23848
Ba122	2.35543
Ba123	3.59246
Ba124	0.869493
Ba125	2.94664
Ba126	0.588297
Ba127	1.28546
Ba127_m1	0.0803
Ba128	0.074562
Ba129	0.478823
Ba129_m1	1.62333
Ba130_m1	2.4751
Ba131	0.535327
Ba131_m1	0.190659
Ba133	0.457203
Ba133_m1	0.286432
Ba135_m1	0.266418
Ba136_m1	2.02953
Ba137_m1	0.661397
Ba139	0.946444
Ba140	0.500411
Ba141	1.86329
Ba142	1.44246
Ba143	2.52497
Ba144	1.68732
Ba145	3.28937
Ba146	2.18376
Ba147	3.04266
Ba148	2.77495
Ba149	4.0007
Ba150	3.5663
Ba151	5.34592
Ba152	4.1131
Ba153	5.46367
Be10	0.20256
Be11	7.50112
Be12	5.6149
Be13	0.1
Be14	11.2979
Be15	1.772
Be16	1.581
Be5	4.527
Be6	1.372
Be7	0.0498618
Be8	0.09184
Bh260	10.47
Bh261	9.55618
Bh262	10.3005
Bh262_m1	10.32
Bh263	10.08
Bh264	9.967
Bh265	9.77
Bh266	9.552
Bh267	9.37
Bh269	8.8
Bi184	8.0248
Bi184_m1	8.02
Bi185	2.206
Bi186	7.7568
Bi186_m1	7.7568
Bi187	7.78895
Bi187_m1	6.84983
Bi188	7.31709
Bi188_m1	7.2552
Bi189	6.2406
Bi189_m1	6.39067
Bi190	6.833
Bi190_m1	6.70632
Bi191	5.7456
Bi191_m1	4.686
Bi192	6.05107
Bi192_m1	6.04368
Bi193	4.28756
Bi193_m1	6.26117
Bi194	5.48038
Bi194_m1	5.47836
Bi194_m2	5.47924
Bi195	3.79408
Bi195_m1	4.77664
Bi196	3.40567
Bi196_m1	2.59167
Bi196_m2	2.87694
Bi197	3.37408
Bi197_m1	4.7984
Bi198	4.45434
Bi198_m1	4.45381
Bi198_m2	0.2485
Bi199	2.95303
Bi199_m1	3.37323
Bi200	2.51213
Bi200_m1	3.91548
Bi200_m2	0.4282
Bi201	1.53391
Bi201_m1	2.95902
Bi202	2.6141
Bi203	2.17712
Bi203_m1	1.09418
Bi204	3.40351
Bi204_m1	0.799413
Bi204_m2	2.00796
Bi205	1.71717
Bi206	3.40544
Bi207	1.64927
Bi208	2.65235
Bi208_m1	1.5737
Bi209	3.13455
Bi210	0.389227
Bi210_m1	5.31329
Bi211	6.73024
Bi212	2.82506
Bi212_m1	6.95355
Bi212_m2	2.77338
Bi213	0.692581
Bi214	2.13735
Bi215	0.87145
Bi215_m1	1.853
Bi216	2.72674
Bi217	1.94667
Bi218	2.7008
Bk235	5.496
Bk237	5.02367
Bk238	3.26043
Bk240	2.62661
Bk241	4.354
Bk242	1.95333
Bk243	1.01386
Bk244	1.50822
Bk245	0.371827
Bk246	0.905986
Bk247	5.86431
Bk248	5.774
Bk248_m1	0.239816
Bk249	0.0324692
Bk250	1.19047
Bk251	0.429182
Bk253	1.08533
Bk254	2.034
Br67	1.635
Br68	0.56
Br69	0.45
Br70	7.00285
Br70_m1	8.53105
Br71	4.42939
Br72	5.58868
Br72_m1	0.101183
Br73	2.72714
Br74	5.68551
Br74_m1	5.05716
Br75	1.76413
Br76	3.43004
Br76_m1	0.112343
Br77	0.330117
Br77_m1	0.105796
Br78	2.05775
Br79_m1	0.207334
Br80	0.80149
Br80_m1	0.0854308
Br82	2.80559
Br82_m1	0.078176
Br83	0.337111
Br84	2.98673
Br84_m1	3.65545
Br85	1.10572
Br86	5.24086
Br87	5.00667
Br88	5.54303
Br89	4.26173
Br90	4.83717
Br91	4.50243
Br92	6.97551
Br93	5.39186
Br94	5.16391
Br95	5.18096
Br96	6.83599
Br97	6.14267
C10	2.56208
C11	1.40421
C14	0.04947
C15	6.35219
C16	4.15302
C17	7.71497
C18	7.51636
C19	9.4448
C20	10.305
C21	0.331
C22	13.6108
C8	2.141
C9	11.9704
Ca34	0.5
Ca35	11.6878
Ca36	7.13625
Ca37	7.41449
Ca38	3.79736
Ca39	3.58159
Ca41	0.00311175
Ca45	0.0768603
Ca46	0.494175
Ca47	1.34683
Ca48	1.6496
Ca49	4.04219
Ca50	2.91631
Ca51	4.8742
