# parent_GNDS	progeny_GNDS	bf	mode
# Per-branch daughters from ENDF/B-VIII.0 decay tapes (MF8/MT457 NDK
# records: RTYP decay-mode code, RFS daughter state flag, BR branching
# fraction). RTYP digits apply in emission order (ENDF-102 8.4; OpenMC
# decay.py digit table): beta- Z+1, EC/beta+ Z-1, alpha Z-2/A-4, IT
# unchanged, delayed neutrons/protons subtract emitted nucleons; the
# mode token is the initial event. SF/fission-family branches (any
# digit 6) and unknown-origin branches (RTYP 10) are dropped, so kept
# branches of strong SF emitters sum to 1-BR(SF); depletion matrices
# skip sf gains. Tapes with zero half-life or stable flags yield no
# rows (Te123 stays absent: effectively stable in this evaluation).
# Basis note: this table and half_life.tsv use ENDF/B-VIII.0 while
# decay_energy.tsv stays on ENDF/B-VII.1 (different sublibrary vintages).
# Screening-level only: use evaluated libraries for transport.
# Regenerate: python3 scripts/gen-nuclear-data.py --endf-decay8 <dir> --out <dir>.
Ag125	Cd125	0.968415	beta-
Ag126	Cd125	0.032894	beta-
Ag126	Cd126	0.967106	beta-
Ag127	Cd126	0.050591	beta-
Ag127	Cd127	0.949409	beta-
Ag128	Cd126	9.0422e-07	beta-
Ag128	Cd127	0.0610011	beta-
Ag128	Cd128	0.938998	beta-
Ag129	Cd128	0.08951	beta-
Ag129	Cd129	0.91049	beta-
Ag130	Cd128	0.010046	beta-
Ag130	Cd129	0.790194	beta-
Ag130	Cd130	0.19976	beta-
Ag93	Pd92	0.5	p
Ag93	Pd93	0.5	ec/beta+
Ag94	Pd94	1	ec/beta+
Ag94_m1	Pd94	0.8	ec/beta+
Ag94_m1	Rh93	0.2	ec/beta+
Ag94_m2	Pd93	0.031	p
Ag94_m2	Pd94	0.699	ec/beta+
Ag94_m2	Rh93	0.27	ec/beta+
Ag95	Pd95	0.5	ec/beta+
Ag95	Rh94	0.5	ec/beta+
Ag95_m1	Ag95	1	IT
Ag95_m2	Ag95	1	IT
Ag95_m3	Ag95	1	IT
Ag96	Pd96	0.915	ec/beta+
Ag96	Rh95	0.085	ec/beta+
Ag96_m1	Pd96	0.82	ec/beta+
Ag96_m1	Rh95	0.18	ec/beta+
Ag97	Pd97	1	ec/beta+
Ag98	Pd98	1	ec/beta+
Ag99	Pd99	1	ec/beta+
Ag99_m1	Ag99	1	IT
Al21	Mg20	1	p
Al22	Mg22	0.3969	ec/beta+
Al22	Na21	0.6	ec/beta+
Al22	Ne18	0.0031	ec/beta+
Al23	Mg23	0.9878	ec/beta+
Al23	Na22	0.0122	ec/beta+
Al24	Mg24	1	ec/beta+
Al24_m1	Al24	0.825	IT
Al24_m1	Mg24	0.1747	ec/beta+
Al24_m1	Ne20	0.0003	ec/beta+
Al25	Mg25	1	ec/beta+
Al26	Mg26	1	ec/beta+
Al26_m1	Mg26	1	ec/beta+
Al28	Si28	1	beta-
Al29	Si29	1	beta-
Al30	Si30	1	beta-
Al31	Si31	1	beta-
Al32	Si32	1	beta-
Al33	Si32	0.085	beta-
Al33	Si33	0.915	beta-
Al34	Si33	0.27	beta-
Al34	Si34	0.73	beta-
Al35	Si34	0.41	beta-
Al35	Si35	0.59	beta-
Al36	Si35	0.31	beta-
Al36	Si36	0.69	beta-
Al37	Si37	1	beta-
Al38	Si37	0.5	beta-
Al38	Si38	0.5	beta-
Al39	Si38	0.5	beta-
Al39	Si39	0.5	beta-
Al40	Si39	0.5	beta-
Al40	Si40	0.5	beta-
Al41	Si41	1	beta-
Al42	Si41	0.5	beta-
Al42	Si42	0.5	beta-
Am231	Np227	0.5	alpha
Am231	Pu231	0.5	ec/beta+
Am232	Np228	0.029979	alpha
Am232	Pu232	0.00069951	ec/beta+
Am232	Pu232	0.969321	ec/beta+
Am233	Np229	1	alpha
Am234	Pu234	1	ec/beta+
Am235	Np231	0.004	alpha
Am235	Pu235	0.996	ec/beta+
Am236	Np232	0.5	alpha
Am236	Pu236	0.5	ec/beta+
Am237	Np233	0.00025	alpha
Am237	Pu237	0.71889	ec/beta+
Am237	Pu237_m1	0.28086	ec/beta+
Am238	Np234	1e-06	alpha
Am238	Pu238	0.999999	ec/beta+
Am239	Np235	0.0001	alpha
Am239	Pu239	0.9999	ec/beta+
Am240	Np236	1.9e-06	alpha
Am240	Pu240	0.999998	ec/beta+
Am241	Np237	1	alpha
Am242	Cm242	0.827	beta-
Am242	Pu242	0.173	ec/beta+
Am242_m1	Am242	0.99541	IT
Am242_m1	Np238	0.00459	alpha
Am242_m2	Np238	4.99975e-05	alpha
Am243	Np239	1	alpha
Am244	Cm244	1	beta-
Am244_m1	Cm244	0.999639	beta-
Am244_m1	Pu244	0.000361	ec/beta+
Am245	Cm245	1	beta-
Am246	Cm246	1	beta-
Am246_m1	Cm246	1	beta-
Am247	Cm247	1	beta-
Am248	Cm248	1	beta-
Am249	Cm249	1	beta-
Ar30	Cl29	1	p
Ar31	Cl31	0.225	ec/beta+
Ar31	P29	0.085	ec/beta+
Ar31	S30	0.69	ec/beta+
Ar32	Cl32	0.57	ec/beta+
Ar32	S31	0.43	ec/beta+
Ar33	Cl33	0.613	ec/beta+
Ar33	S32	0.387	ec/beta+
Ar34	Cl34	1	ec/beta+
Ar35	Cl35	1	ec/beta+
Ar37	Cl37	1	ec/beta+
Ar39	K39	1	beta-
Ar41	K41	1	beta-
Ar42	K42	1	beta-
Ar43	K43	1	beta-
Ar44	K44	1	beta-
Ar45	K45	1	beta-
Ar46	K46	1	beta-
Ar47	K47	1	beta-
Ar48	K48	1	beta-
Ar49	K48	0.65	beta-
Ar49	K49	0.35	beta-
Ar50	K49	0.35	beta-
Ar50	K50	0.65	beta-
Ar51	K51	1	beta-
Ar52	K52	1	beta-
Ar53	K52	0.5	beta-
Ar53	K53	0.5	beta-
As60	Ge59	1	p
As61	Ge60	1	p
As62	Ge61	1	p
As63	Ge62	1	p
As64	Ge64	1	ec/beta+
As65	Ge65	1	ec/beta+
As66	Ge66	1	ec/beta+
As67	Ge67	1	ec/beta+
As68	Ge68	1	ec/beta+
As69	Ge69	1	ec/beta+
As70	Ge70	1	ec/beta+
As71	Ge71	1	ec/beta+
As72	Ge72	1	ec/beta+
As73	Ge73_m1	1	ec/beta+
As74	Ge74	0.66	ec/beta+
As74	Se74	0.34	beta-
As75_m1	As75	1	IT
As76	Se76	1	beta-
As77	Se77	0.996671	beta-
As77	Se77_m1	0.00332866	beta-
As78	Se78	1	beta-
As79	Se79	0.0236862	beta-
