# GNDS name	b_coherent_fm	b_incoherent_fm
# Bound lengths (fm) from the NIST NCNR tabulation (Sears 1992).
# Complex coherent lengths kept by real part; incoherent derived
# via b = 10*sqrt(sigma_i/4*pi) where the table gives only sigma.
# Regenerate: python3 scripts/gen-nuclear-data.py --help.
Ti49	1.04	5.1
Ti50	6.18	0
Tl203	6.99	1.06
Tl205	9.52	-0.242
Tm169	7.07	0.9
U233	10.1	1
U234	12.4	0
U235	10.47	1.3
U238	8.402	0
V50	7.6	1.99471
V51	-0.402	6.35
W180	5	0
W182	6.97	0
W183	6.53	1.5451
W184	7.48	0
W186	-0.72	0
Y89	7.75	1.1
Yb168	-4.07	0
Yb170	6.77	0
Yb171	9.66	-5.59
Yb172	9.43	0
Yb173	9.56	-5.3
Yb174	19.3	0
Yb176	8.72	0
Zn64	5.22	0
Zn66	5.97	0
Zn67	7.56	-1.5
Zn68	6.03	0
Zn70	6	0
Zr90	6.4	0
Zr91	8.7	-1.08
Zr92	7.4	0
Zr94	8.2	0
Zr96	5.5	0
