# GNDS name	thermal_barn	fast14mev_barn
# Thermal totals: NIST NCNR bound XS converted to free-atom via
# xs*(A/(A+1))^2 + xs_a. Fast totals: ENDF/B-VII.1 MF3/MT1 at 14 MeV.
# Screening-level only: use evaluated libraries for transport.
# Regenerate: python3 scripts/gen-nuclear-data.py --endf-neutrons <vii1-neutrons-dir> --endf-decay <vii1-decay-dir> --nist-html <scattering_lengths.html> --out <dir>.
Sm147	95.4748	5.03677
Sm148	3.38662	5.09433
Sm149	42277.3	5.05205
Sm150	128.67	5.14325
Sm152	209.06	5.15555
Sm154	19.2585	5.18682
Sn112	5.42071	4.64
Sn114	4.83088	4.63944
Sn115	34.7176	4.63944
Sn116	4.48477	4.63939
Sn117	7.80549	4.63909
Sn118	4.77251	4.63893
Sn119	7.11701	4.63873
Sn120	5.34292	4.63889
Sn122	4.25296	4.63851
Sn124	4.54161	4.63822
Sr84	6.72965	3.71454
Sr86	4.98766	4.33432
Sr87	23.2328	4.33428
Sr88	6.33454	3.6925
Ta180	569.923	5.1209
Ta181	26.4441	5.331
Tb159	30.1548	5.26275
Te120	5.74239	4.97549
Te122	5.17085	4.97543
Te123	418.512	4.97549
Te124	14.6725	4.9755
Te125	4.67972	4.97553
Te126	4.85914	4.97589
Te128	4.50767	4.97574
Te130	4.7708	4.808
Ti46	3.51159	2.2555
Ti47	4.76806	2.27934
Ti48	12.3021	2.30338
Ti49	5.46536	2.32746
Ti50	4.79261	2.35139
Tl203	17.6186	5.24179
Tl205	11.3936	5.26374
Tm169	106.305	5.46368
U233	587.49	5.75726
U234	119.236	5.73798
U235	694.782	5.83069
U238	11.4769	5.85825
V50	67.4971	2.36499
V51	9.79611	2.35559
W180	32.9669	5.31186
W182	26.7335	5.33242
W183	15.7382	5.48484
W184	8.65421	5.38053
W186	37.9643	5.30432
Y89	8.80984	3.85796
Zn64	4.24558	3.01723
Zn66	4.96727	3.07584
Zn67	14.0422	3.10019
Zn68	5.5385	3.14325
Zn70	4.46613	3.21208
Zr90	4.99953	3.81862
Zr91	10.6603	3.86732
Zr92	6.97241	3.94525
Zr94	8.27399	4.01712
Zr96	3.74495	4.12102
